FTA 1,FTA 2,Matched words,Total words FTA 1,Total words FTA 2,% of FTA 1,% of FTA 2
523_Japan Vietnam_2008Cut.txt,VN-Chile (2011).txt,3543,21094,15990,16.80,22.16
523_Japan Vietnam_2008Cut.txt,VN-EEU (2015).txt,4108,21094,33811,19.47,12.15
523_Japan Vietnam_2008Cut.txt,VN-EU + Investment (2019).txt,3741,21094,95025,17.73,3.94
523_Japan Vietnam_2008Cut.txt,VN-Israel (2023).txt,3209,21094,30302,15.21,10.59
523_Japan Vietnam_2008Cut.txt,VN-ROK (2015).txt,6127,21094,39994,29.05,15.32
523_Japan Vietnam_2008Cut.txt,VN-UAE (2024).txt,4890,21094,36114,23.18,13.54
523_Japan Vietnam_2008Cut.txt,VN-US (2000).txt,2169,21094,19361,10.28,11.20
VN-Chile (2011).txt,VN-EEU (2015).txt,3088,15990,33811,19.31,9.13
VN-Chile (2011).txt,VN-EU + Investment (2019).txt,3488,15990,95025,21.81,3.67
VN-Chile (2011).txt,VN-Israel (2023).txt,4163,15990,30302,26.04,13.74
VN-Chile (2011).txt,VN-ROK (2015).txt,6046,15990,39994,37.81,15.12
VN-Chile (2011).txt,VN-UAE (2024).txt,3802,15990,36114,23.78,10.53
VN-Chile (2011).txt,VN-US (2000).txt,590,15990,19361,3.69,3.05
VN-EEU (2015).txt,VN-EU + Investment (2019).txt,6143,33811,95025,18.17,6.46
VN-EEU (2015).txt,VN-Israel (2023).txt,4957,33811,30302,14.66,16.36
VN-EEU (2015).txt,VN-ROK (2015).txt,6302,33811,39994,18.64,15.76
VN-EEU (2015).txt,VN-UAE (2024).txt,5210,33811,36114,15.41,14.43
VN-EEU (2015).txt,VN-US (2000).txt,2081,33811,19361,6.15,10.75
VN-EU + Investment (2019).txt,VN-Israel (2023).txt,6977,95025,30302,7.34,23.02
VN-EU + Investment (2019).txt,VN-ROK (2015).txt,8789,95025,39994,9.25,21.98
VN-EU + Investment (2019).txt,VN-UAE (2024).txt,7601,95025,36114,8.00,21.05
VN-EU + Investment (2019).txt,VN-US (2000).txt,2920,95025,19361,3.07,15.08
VN-Israel (2023).txt,VN-ROK (2015).txt,8357,30302,39994,27.58,20.90
VN-Israel (2023).txt,VN-UAE (2024).txt,6834,30302,36114,22.55,18.92
VN-Israel (2023).txt,VN-US (2000).txt,1697,30302,19361,5.60,8.77
VN-ROK (2015).txt,VN-UAE (2024).txt,10281,39994,36114,25.71,28.47
VN-ROK (2015).txt,VN-US (2000).txt,3949,39994,19361,9.87,20.40
VN-UAE (2024).txt,VN-US (2000).txt,3283,36114,19361,9.09,16.96
